# 范德华半径项，来自NACESS,改成Charmm命名2009.1.11.
RESIDUE ATOM ALA  5
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
RESIDUE ATOM ARG 11
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.87 0 
ATOM  CD  1.87 0 
ATOM  NE  1.65 1 
ATOM  CZ  1.76 0 
ATOM  NH1 1.65 1 
ATOM  NH2 1.65 1 
RESIDUE ATOM ASP  8
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  OD1 1.40 1 
ATOM  OD2 1.40 1 
RESIDUE ATOM ASN  8
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  OD1 1.40 1 
ATOM  ND2 1.65 1 
RESIDUE ATOM CYS  6              
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  SG  1.85 0 
RESIDUE ATOM GLU 9
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.87 0 
ATOM  CD  1.76 0 
ATOM  OE1 1.40 1 
ATOM  OE2 1.40 1 
RESIDUE ATOM GLN  9              
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.87 0 
ATOM  CD  1.76 0 
ATOM  OE1 1.40 1 
ATOM  NE2 1.65 1 
RESIDUE ATOM GLY  4
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
RESIDUE ATOM HIS 10 
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  ND1 1.65 1 
ATOM  CD2 1.76 0 
ATOM  CE1 1.76 0 
ATOM  NE2 1.65 1 
RESIDUE ATOM HSD 10 
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  ND1 1.65 1 
ATOM  CD2 1.76 0 
ATOM  CE1 1.76 0 
ATOM  NE2 1.65 1 
RESIDUE ATOM HSP 10 
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  ND1 1.65 1 
ATOM  CD2 1.76 0 
ATOM  CE1 1.76 0 
ATOM  NE2 1.65 1 
RESIDUE ATOM ILE  8              
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG1 1.87 0 
ATOM  CG2 1.87 0 
ATOM  CD  1.87 0 
RESIDUE ATOM LEU  8
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.87 0 
ATOM  CD1 1.87 0 
ATOM  CD2 1.87 0 
RESIDUE ATOM LYS  9
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.87 0 
ATOM  CD  1.87 0 
ATOM  CE  1.87 0 
ATOM  NZ  1.50 1 
RESIDUE ATOM MET  8              
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.87 0 
ATOM  SD  1.85 0 
ATOM  CE  1.87 0 
RESIDUE ATOM PHE 11              
ATOM  N   1.65 1 
